States/UTs,Persons,Male,Female,Rural Persons,Rural Male,Rural Female,Urban Persons,Urban Male,Urban Female
Andaman and Nicobar Islands,86.63,90.27,82.43,84.5,88.53,79.85,90.1,93.11,86.63
Andhra Pradesh,67.41,74.83,60.01,62.43,70.55,54.3,79.17,85,73.42
Andhra Pradesh (Un-divided),67.02,74.88,59.15,60.45,69.38,51.54,80.09,85.79,74.35
Arunachal Pradesh,65.38,72.55,57.7,59.94,67.44,52.04,82.93,88.45,76.66
Assam,72.19,77.85,66.27,69.34,75.4,63.03,88.47,91.81,84.94
Bihar,61.8,71.2,51.5,59.78,69.67,49,76.86,82.56,70.49
Chandigarh,86.05,89.99,81.19,80.75,85.77,73.17,86.19,90.11,81.38
Chhattisgarh,70.28,80.27,60.24,65.99,76.98,55.06,84.05,90.58,77.24
Dadra and Nagar Haveli,76.24,85.17,64.32,64.12,76.4,49.58,89.79,93.99,83.38
Daman and Diu,87.1,91.54,79.55,81.36,89.43,71.93,88.96,92.1,82.88
Delhi,86.21,90.94,80.76,81.86,89.37,73.1,86.32,90.98,80.95
Goa,88.7,92.65,84.66,86.65,91.71,81.63,89.95,93.21,86.56
Gujarat,78.03,85.75,69.68,71.71,81.61,61.36,86.31,90.98,81.03
Haryana,75.55,84.06,65.94,71.42,81.55,60.02,83.14,88.63,76.9
Himachal Pradesh,82.8,89.53,75.93,81.85,89.05,74.62,91.1,93.42,88.37
Jammu and Kashmir,67.16,76.75,56.43,63.18,73.76,51.64,77.12,83.92,69.01
Jharkhand,66.41,76.84,55.42,61.11,72.86,48.91,82.26,88.44,75.47
Karnataka,75.36,82.47,68.08,68.73,77.61,59.71,85.78,90.04,81.36
Kerala,94,96.11,92.07,92.98,95.35,90.81,95.11,96.95,93.44
Lakshadweep,91.85,95.56,87.95,91.58,94.53,88.5,91.92,95.84,87.79
Madhya Pradesh,69.32,78.73,59.24,63.94,74.74,52.43,82.85,88.67,76.52
Maharashtra,82.34,88.38,75.87,77.01,85.15,68.54,88.69,92.12,84.89
Manipur,76.94,83.58,70.26,73.4,80.29,66.34,85.38,91.68,79.31
Meghalaya,74.43,75.95,72.89,69.92,71.46,68.37,90.79,92.46,89.14
Mizoram,91.33,93.35,89.27,84.1,88.16,79.81,97.63,97.98,97.27
Nagaland,79.55,82.75,76.11,75.35,78.96,71.51,89.62,91.62,87.4
Odisha,72.87,81.59,64.01,70.22,79.65,60.74,85.75,90.72,80.42
Puducherry,85.85,91.26,80.67,80.1,87.44,73.02,88.49,93.03,84.17
Punjab,75.84,80.44,70.73,71.42,76.62,65.74,83.18,86.67,79.21
Rajasthan,66.11,79.19,52.12,61.44,76.16,45.8,79.68,87.91,70.73
Sikkim,81.42,86.55,75.61,78.95,84.62,72.45,88.71,92.35,84.7
Tamil Nadu,80.09,86.77,73.44,73.54,82.04,65.05,87.04,91.8,82.31
Telangana,66.46,74.95,57.92,57.25,67.48,47.11,81.09,86.65,75.39
Tripura,87.22,91.53,82.73,84.9,90.07,79.49,93.47,95.51,91.38
Uttar Pradesh,67.68,77.28,57.18,65.46,76.33,53.65,75.14,80.45,69.22
Uttarakhand,78.82,87.4,70.01,76.31,86.62,66.18,84.45,89.05,79.25
West Bengal,76.26,81.69,70.54,72.13,78.44,65.51,84.78,88.37,80.98
India,72.98,80.88,64.63,67.77,77.15,57.93,84.11,88.76,79.11